종목코드,종목명,시장코드,테마
100026,한투글로벌넥스트웨이브1(A),KOSPI,기타
100027,한투글로벌넥스트웨이브1(A-e),KOSPI,기타
100028,한투글로벌넥스트웨이브2(A),KOSPI,기타
100029,한투글로벌넥스트웨이브2(A-e),KOSPI,기타
100030,한투한미핵심성장포커스1(A),KOSPI,기타
100031,한투한미핵심성장포커스1(A-e),KOSPI,기타
100032,한투한미핵심성장포커스2(A),KOSPI,기타
100033,한투한미핵심성장포커스2(A-e),KOSPI,기타
100034,한투한미넥스트혁신성장1(A),KOSPI,기타
100035,한투한미넥스트혁신성장1(A-e),KOSPI,기타
100036,한투한미넥스트혁신성장2(A),KOSPI,기타
100037,한투한미넥스트혁신성장2(A-e),KOSPI,기타
100038,한투AI혁신산업1(A-e),KOSPI,AI
100039,한투AI혁신산업2(A),KOSPI,AI
100040,한투AI혁신산업2(A-e),KOSPI,AI
100041,한투AI혁신산업1(A),KOSPI,AI
900001,대신하이일드공모주알파증권2호 A,KOSPI,금융
900002,대신하이일드공모주알파증권2호 A-e,KOSPI,금융
400008,코레이트하이일드공모주만기형3호 A,KOSPI,기타
400009,코레이트하이일드공모주만기형3호 A2,KOSPI,기타
400010,코레이트하이일드공모주만기형3호 Ae,KOSPI,기타
201773,하나대체나사부동산1호,KOSPI,기타
401777,맵스미국11호,KOSPI,기타
601669,KCGI베트남증권투자신탁,KOSPI,금융
701776,이지스코어부동산126호 A,KOSPI,기타
702776,이지스코어부동산126호 C-i,KOSPI,기타
200017,한국밸류라이프V파워1(A),KOSPI,기타
200018,한국밸류라이프V파워1(A-e),KOSPI,기타
200019,한국밸류라이프V파워1(C-F),KOSPI,기타
200020,한국밸류라이프V파워2(A),KOSPI,기타
200021,한국밸류라이프V파워2(A-e),KOSPI,기타
200022,한국밸류라이프V파워2(C-F),KOSPI,기타
200023,한국밸류코리아기업가치포커스1호A,KOSPI,기타
200024,한국밸류코리아기업가치포커스1호C-F,KOSPI,기타
200025,한국밸류코리아기업가치포커스2호A,KOSPI,기타
200026,한국밸류코리아기업가치포커스1호A-e,KOSPI,기타
200027,한국밸류코리아기업가치포커스2호C-F,KOSPI,기타
200028,한국밸류코리아기업가치포커스2호A-e,KOSPI,기타
200029,한국밸류 K-파워2 1호(A),KOSPI,기타
200030,한국밸류 K-파워2 1호(A-e),KOSPI,기타
200031,한국밸류 K-파워2 2호(C-F),KOSPI,기타
200032,한국밸류 K-파워2 2호(A-e),KOSPI,기타
200033,한국밸류 K-파워2 2호(A),KOSPI,기타
200034,한국밸류 K-파워2 1호(C-F),KOSPI,기타
20,동화약품,KOSPI,제약
40,KR모터스,KOSPI,자동차
50,경방,KOSPI,기타
70,삼양홀딩스,KOSPI,금융
80,하이트진로,KOSPI,기타
87,하이트진로2우B,KOSPI,기타
100,유한양행,KOSPI,기타
105,유한양행우,KOSPI,기타
120,CJ대한통운,KOSPI,기타
140,하이트진로홀딩스,KOSPI,금융
145,하이트진로홀딩스우,KOSPI,금융
150,두산,KOSPI,기타
155,두산우,KOSPI,기타
157,두산2우B,KOSPI,기타
180,성창기업지주,KOSPI,금융
210,DL,KOSPI,기타
215,DL우,KOSPI,기타
220,유유제약,KOSPI,제약
225,유유제약1우,KOSPI,제약
227,유유제약2우B,KOSPI,제약
230,일동홀딩스,KOSPI,금융
240,한국앤컴퍼니,KOSPI,기타
270,기아,KOSPI,기타
300,DH오토넥스,KOSPI,자동차
320,노루홀딩스,KOSPI,금융
325,노루홀딩스우,KOSPI,금융
370,한화손해보험,KOSPI,금융
390,삼화페인트,KOSPI,기타
400,롯데손해보험,KOSPI,금융
430,대원강업,KOSPI,기타
480,CR홀딩스,KOSPI,금융
490,대동,KOSPI,기타
500,가온전선,KOSPI,기타
520,삼일제약,KOSPI,제약
540,흥국화재,KOSPI,기타
545,흥국화재우,KOSPI,기타
590,CS홀딩스,KOSPI,금융
640,동아쏘시오홀딩스,KOSPI,금융
650,천일고속,KOSPI,기타
660,SK하이닉스,KOSPI,기타
670,영풍,KOSPI,기타
680,LS네트웍스,KOSPI,기타
700,유수홀딩스,KOSPI,금융
720,현대건설,KOSPI,건설
725,현대건설우,KOSPI,건설
760,이화산업,KOSPI,기타
810,삼성화재,KOSPI,기타
815,삼성화재우,KOSPI,기타
850,화천기공,KOSPI,기타
860,강남제비스코,KOSPI,기타
880,한화,KOSPI,기타
890,보해양조,KOSPI,기타
910,유니온,KOSPI,기타
950,전방,KOSPI,기타
970,한국주철관,KOSPI,기타
990,DB하이텍,KOSPI,기타
1020,페이퍼코리아,KOSPI,기타
